"id","Rtype","rawslope","filtslope","rawvar","filtvar","filtrange"
9025.11,"Exclude",0.0378160956968149,0.0407623796389538,0.0264555463964302,0.0119948873868109,0.321965597167834
9025.12,"Exclude",0.0216795310420484,0.0197350070505544,0.00682766318875249,0.00294287214144947,0.239290202366035
9025.13,"Exclude",0.219015937204183,0.202112990544329,0.311825923500922,0.252884693916183,1.28085751855521
9203.11,"Exclude",0.0128737030519351,0.00894639242429868,0.00186413802047927,0.000534815899780614,0.0868652767845789
9203.14,"Exclude",0.11319632226203,0.112202451909059,0.0715638191859062,0.0693468481538637,0.808349642503252
9025.72,"Exclude",0.0779477052810117,0.083285542568476,0.0426962171905249,0.0455771915186338,0.750685798346431
9023.11,"Exclude",0.00568546689533351,0.00440913517701902,0.0139061179474106,0.00347180521180966,0.220571088744606
9023.12,"Include",0.00446999949350603,0.00134507279047105,0.0136127945118293,0.00111901797421305,0.123939404289844
9022.11,"Include",0.0119357927340033,0.0105803014784252,0.0140044533197735,0.00390139864725335,0.242179085802078
9022.13,"Include",0.00561169474976226,0.00633881655608763,0.311825923500922,0.252884693916183,0.157206321634135
9025.32,"Include",0.0327419198565198,0.0197683161874919,0.021969248683476,0.0103940881107232,0.294061221019939
9025.53,"Include",0.0118466477231059,0.012186870323433,0.00715062311075441,0.00150329682138995,0.112239658272087
9023.13,"Questionable",0.0128672348184476,0.0120427872471351,0.0064790598495991,0.00110321726587682,0.140966358753204
9023.33,"Questionable",0.0150541525987598,0.00555363008105086,0.014337565133791,0.00769046495211334,0.266901503321161
9025.51,"Questionable",0.0855315623988103,0.0773837518615795,0.0587287271462947,0.0400234906862834,0.532884425915499
9203.53,"Questionable",0.0268514285010944,0.0306628333824214,0.0114178512069868,0.00615501686667175,0.264140206501928
