"id","Rtype","rawrmse","smoothrmse","rawz","smoothz"
9202.32,"No",0.176207273249449,0.109733942329761,4.90555793722662,6.7536874071258
9203.53,"No",0.238794871451186,0.203703877452533,6.11860444403178,6.36261827285067
9202.31,"Yes",2.38780267023815,2.38722457961362,37.0554997006964,62.1041614161778
9204.13,"Yes",0.642481746980781,0.618728317980568,19.0128272365472,25.1729646054949
9204.11,"Questionable",0.336748892858576,0.263744802887547,4.53406681817152,3.40657808437164
9202.12,"Questionable",0.253800392060584,0.206658156067694,5.60462986782555,9.55432413533213
9202.13,"Questionable",0.158855860663535,0.117897770518249,7.20082433482711,4.28863140947311
9203.31,"Questionable",0.192340306867344,0.161245416991639,3.13523678336559,2.59437058846139
9202.33,"Early",0.305951024438631,0.304591939735206,3.21774489517711,1.71225798850469
9203.51,"Yes",1.08997150460861,1.08677488488356,18.908755932039,20.7496844870395
9023.12,"No",0.172432608763719,0.109733942329761,2.73711174525557,6.7536874071258
9022.11,"No",0.235827188293242,0.158794911698414,4.90407191594633,4.48457528651095
9022.13,"No",0.218063837341745,0.136168454319232,3.42282442205909,4.87576759428428
9025.53,"Questionable",0.196562573927352,0.135558356174185,8.30080336297911,8.76237845466995
9023.11,"Early",0.201257677861136,0.140949436120227,3.51509215588414,4.69655118199123
9025.72,"Early",0.547945530868602,0.543297442141945,5.92165758140699,5.01756433633203
9025.32,"Questionable",0.271083146850592,0.233019730883691,3.39622860137276,3.82327892679343
9023.33,"Questionable",0.239283219584536,0.219929575301528,2.8789186913198,2.16890013443526
9025.14,"Yes",0.3116260573211,0.258372112455892,7.12542352299104,7.10907224488483
9023.13,"Questionable",0.164815070636995,0.12277886530599,6.53310063175054,6.90992781262665
9022.51,"Yes",1.25232941185374,1.21623781569709,18.6252907607118,19.826143589307
9025.51,"Yes",0.527545170678532,0.498446729165407,4.66733655837559,4.64574989941112
9023.52,"Yes",0.616653010903369,0.584244919907533,12.6145963364095,34.687669208008
9025.73,"Yes",0.555058659602205,0.543755972829963,20.84990683703,26.2200075737305
9025.74,"Yes",0.235475284214882,0.216819311130105,6.68636074241653,6.2313651539513
